Data Structure,Number of Nodes,Density,User Time,Add Time,GetNext Time,Update Time
Bucket Queue,1000,0.01,0.4137,0.0207,0.0131,0.0874
LL Priority Queue,1000,0.01,0.3461,0.0048,0.0009,0.2341
Priority Queue,1000,0.01,0.1385,0.0005,0.0181,0.0286
Binary Heap,1000,0.01,0.8642,0.1477,0.1069,0.5144
Bucket Queue,1000,0.01,0.0754,0.0025,0.0014,0.0290
LL Priority Queue,1000,0.01,0.1878,0.0019,0.0003,0.1438
Priority Queue,1000,0.01,0.0700,0.0005,0.0092,0.0211
Binary Heap,1000,0.01,0.6154,0.1492,0.0518,0.3742
Bucket Queue,1000,0.01,0.1881,0.0028,0.0066,0.0285
LL Priority Queue,1000,0.01,0.3731,0.0066,0.0013,0.2108
Priority Queue,1000,0.01,0.2175,0.0004,0.0255,0.0304
Binary Heap,1000,0.01,1.0130,0.1500,0.1465,0.5546
Bucket Queue,1000,0.01,0.1390,0.0021,0.0045,0.0265
LL Priority Queue,1000,0.01,0.3217,0.0021,0.0009,0.2099
Priority Queue,1000,0.01,0.1631,0.0053,0.0203,0.0302
Binary Heap,1000,0.01,0.9080,0.1584,0.1106,0.5372
Bucket Queue,1000,0.01,0.0759,0.0023,0.0017,0.0247
LL Priority Queue,1000,0.01,0.2189,0.0019,0.0004,0.1658
Priority Queue,1000,0.01,0.0865,0.0006,0.0116,0.0245
Binary Heap,1000,0.01,0.6984,0.1590,0.0633,0.4260
Bucket Queue,1000,0.01,0.1454,0.0027,0.0059,0.0281
LL Priority Queue,1000,0.01,0.3214,0.0021,0.0009,0.2091
Priority Queue,1000,0.01,0.1655,0.0005,0.0216,0.0305
Binary Heap,1000,0.01,0.9477,0.1632,0.1198,0.5519
Bucket Queue,1000,0.01,0.1736,0.0070,0.0046,0.0293
LL Priority Queue,1000,0.01,0.3443,0.0022,0.0011,0.2114
Priority Queue,1000,0.01,0.1732,0.0005,0.0222,0.0317
Binary Heap,1000,0.01,0.9587,0.1574,0.1253,0.5537
Bucket Queue,1000,0.01,0.0187,0.0027,0.0003,0.0091
LL Priority Queue,1000,0.01,0.0507,0.0194,0.0001,0.0244
Priority Queue,1000,0.01,0.0141,0.0004,0.0017,0.0052
Binary Heap,1000,0.01,0.2715,0.1586,0.0104,0.0949
Bucket Queue,1000,0.01,0.2702,0.0034,0.0093,0.0287
LL Priority Queue,1000,0.01,0.4577,0.0022,0.0018,0.2259
Priority Queue,1000,0.01,0.3056,0.0054,0.0304,0.0345
Binary Heap,1000,0.01,1.1895,0.1640,0.1722,0.6142
Bucket Queue,1000,0.01,0.2542,0.0028,0.0114,0.0285
LL Priority Queue,1000,0.01,0.4498,0.0021,0.0018,0.2212
Priority Queue,1000,0.01,0.3006,0.0005,0.0309,0.0355
Binary Heap,1000,0.01,1.1613,0.1641,0.1697,0.5950
Bucket Queue,1000,0.01,0.1419,0.0028,0.0051,0.0296
LL Priority Queue,1000,0.01,0.3382,0.0023,0.0009,0.2251
Priority Queue,1000,0.01,0.1623,0.0006,0.0210,0.0340
Binary Heap,1000,0.01,0.9408,0.1629,0.1139,0.5600
Bucket Queue,1000,0.01,0.1267,0.0069,0.0032,0.0271
LL Priority Queue,1000,0.01,0.2906,0.0024,0.0007,0.2005
Priority Queue,1000,0.01,0.1304,0.0005,0.0176,0.0292
Binary Heap,1000,0.01,0.9035,0.1716,0.1018,0.5418
Bucket Queue,1000,0.01,0.0956,0.0024,0.0022,0.0266
LL Priority Queue,1000,0.01,0.2621,0.0085,0.0006,0.1859
Priority Queue,1000,0.01,0.1059,0.0010,0.0143,0.0270
Binary Heap,1000,0.01,0.8277,0.1633,0.0855,0.5072
Bucket Queue,1000,0.01,0.1480,0.0024,0.0037,0.0290
LL Priority Queue,1000,0.01,0.3310,0.0081,0.0009,0.2128
Priority Queue,1000,0.01,0.1608,0.0006,0.0209,0.0306
Binary Heap,1000,0.01,0.9986,0.1730,0.1248,0.5842
Bucket Queue,1000,0.01,0.0796,0.0026,0.0017,0.0261
LL Priority Queue,1000,0.01,0.2388,0.0022,0.0005,0.1774
Priority Queue,1000,0.01,0.0883,0.0007,0.0121,0.0239
Binary Heap,1000,0.01,0.7345,0.1699,0.0678,0.4429
Bucket Queue,1000,0.01,0.0083,0.0027,0.0001,0.0032
LL Priority Queue,1000,0.01,0.0104,0.0018,0.0000,0.0062
Priority Queue,1000,0.01,0.0058,0.0004,0.0007,0.0021
Binary Heap,1000,0.01,0.2067,0.1681,0.0034,0.0326
Bucket Queue,1000,0.01,0.2755,0.0062,0.0111,0.0303
LL Priority Queue,1000,0.01,0.4732,0.0025,0.0018,0.2520
Priority Queue,1000,0.01,0.2733,0.0005,0.0309,0.0345
Binary Heap,1000,0.01,1.2338,0.1663,0.1808,0.6651
Bucket Queue,1000,0.01,0.1836,0.0024,0.0059,0.0340
LL Priority Queue,1000,0.01,0.3750,0.0025,0.0012,0.2379
Priority Queue,1000,0.01,0.1991,0.0006,0.0253,0.0356
Binary Heap,1000,0.01,1.0668,0.1651,0.1424,0.6208
Bucket Queue,1000,0.01,0.1843,0.0024,0.0060,0.0298
LL Priority Queue,1000,0.01,0.4055,0.0087,0.0012,0.2476
